station_id,station_name,latitude,longitude,neighborhood
7385,20 Charles St E,43.669110,-79.385510,Church Wellesley / Yorkville
7386,D'Arcy St / McCaul St - SMART,43.655227,-79.392010,U of T - Hospital Row
7387,Mortimer Ave / Carlaw Ave SMART,43.685167,-79.349620,Danforth
7388,Broadview Subway Station,43.677200,-79.358580,Danforth
7389,College Park - Gerrard Entrance,43.658938,-79.383518,U of T - Hospital Row
7391,Yonge St / Dundas Sq,43.655766,-79.380200,Financial District
7395,Dentonia Park,43.694341,-79.291416,Danforth
7398,York St / Lake Shore Blvd W,43.641952,-79.380723,Waterfront
7399,Lower Jarvis St / Queens Quay E,43.644220,-79.369270,Waterfront
7400,Polson Pier,43.641675,-79.354006,Waterfront
7403,Lascelles Blvd / Eglinton Ave W,43.705470,-79.403550,Mid Town
7404,Roehampton Ave / Mount Pleasant Rd,43.709420,-79.391390,Mid Town
7407,University Ave / Queen St W,43.650524,-79.386727,Financial District
7409,Isabella St / Church St,43.668340,-79.382350,Church Wellesley / Yorkville
7410,Howard St / Rose Ave,43.671278,-79.372127,Church Wellesley / Yorkville
7411,Little Norway Park,43.635023,-79.399505,Waterfront
7412,King St W / Crawford St,43.641785,-79.413115,Liberty Village - Queen West
7414,Keele St / Annette St,43.664020,-79.464180,Bloor St W - High Park
7415,Keele St / Vine Ave,43.666860,-79.465260,Bloor St W - High Park
7416,Spadina Ave / Blue Jays Way,43.641705,-79.393295,Fort York - Entertainment District
7417,King St W / Jordan St,43.648928,-79.378623,Financial District
7418,College Park - Yonge St Entrance,43.659880,-79.382790,U of T - Hospital Row
7419,Bloor St W / Huron St,43.667023,-79.401805,Bloor St W / Annex
7420,Barton Ave / Howland Ave - SMART,43.668420,-79.410585,Bloor St W / Annex
7422,Tyndall Ave / King St W - SMART,43.638426,-79.429142,Liberty Village - Queen West
7425,The Queensway at South Kingsway,43.636320,-79.473070,Humber Bay Shores
7427,Northern Dancer Blvd / Lake Shore Blvd E,43.663162,-79.309765,Leslieville - Woodbine
7428,Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,Leslieville - Woodbine
7429,Woodbine Subway Station,43.686442,-79.313404,Danforth
7430,Marilyn Bell Park Tennis Court,43.633537,-79.437461,Waterfront
7431,Gerrard St E / Leslie St,43.669813,-79.333500,Leslieville - Woodbine
7432,Frederick St / King St E,43.651118,-79.369411,Regent Park - Distillery
7433,Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,Leslieville - Woodbine
7434,91 Via Italia,43.676650,-79.445030,St Clair Ave W
7435,Rushton Rd / St. Clair Ave W,43.681140,-79.427700,St Clair Ave W
7437,Concord Ave / Bloor St W,43.661890,-79.426790,Annex Efit drop off
